article_id,comment_index,image_path,ace_sentence,json_file
181,1,,The rate of wind energy and solar energy has increased since 2000.,1.json
181,1,,"However, fossil fuels occupy more than half of energy materials.",1.json
181,1,,This situation is a problem.,1.json
181,1,,The governments of various countries promote renewable energy.,1.json
181,1,,"When I was a junior high school student, I had an opportunity.",1.json
181,1,,"At that time, I thought about a solution to improve this situation.",1.json
181,1,,The electric power generation in the world decreased around 2008.,1.json
181,1,,The electric power generation in the world also decreased around 2021.,1.json
181,1,,The Lehman Shock happened in 2008.,1.json
181,1,,The coronavirus spread in 2021.,1.json
181,1,,The Lehman Shock caused an economic slump.,1.json
181,1,,The spread of coronavirus caused an economic slump.,1.json
181,1,,An economic slump reduces the demand for electric power generation.,1.json
181,1,,The demand for electric power generation decreased.,1.json
181,1,,The decrease in electric power generation relates to these events.,1.json
181,1,,The rate of fossil fuels may remain steady.,1.json
181,1,,If the rate of fossil fuels remains steady then global warming will worsen.,1.json
181,1,,If the rate of fossil fuels remains steady then air pollution will worsen.,1.json
181,1,,Akita has a precious natural environment.,1.json
181,1,,I live in Akita.,1.json
181,1,,If global warming worsens then the natural environment in Akita could be negatively affected.,1.json
181,1,,Akita cedars grow in Akita.,1.json
181,1,,If global warming worsens then the growth of Akita cedars may deteriorate.,1.json
181,1,,The headline is: What is the solution to increase the rate of clean energy?,1.json
181,10,,A neighborhood can have 100 houses.,10.json
181,10,,A neighborhood can have 1000 houses.,10.json
181,10,,The houses can install roof solar panels.,10.json
181,10,,The author asks what the installation price would be for these homes.,10.json
181,10,,The author asks what the energy-dollar savings would be for an average household.,10.json
181,10,,The author asks for estimates for 5 regions of the country.,10.json
181,10,,The author asks for estimates for 10 regions of the country.,10.json
181,10,,The author thanks the reader.,10.json
181,100,,I noticed that China has a greater total electrical generation than the U.S..,100.json
181,100,,I noticed that China has a greater total electrical generation than India.,100.json
181,100,,I noticed that clean renewable power tends to be used more than fossil fuels.,100.json
181,100,,I wonder why China has more electrical generation than India.,100.json
181,100,,I wonder why the U.S. has more electrical generation than India.,100.json
181,100,,India has the same population as China.,100.json
181,100,,India has more than 1 billion people.,100.json
181,100,,China has more than 1 billion people.,100.json
181,100,,I ask how India supplies electricity to its population.,100.json
181,100,,I ask how China supplies electricity to its population.,100.json
181,100,,The world turns to more clean renewable sources for electricity.,100.json
181,100,,If the world turns to more clean renewable sources for electricity then pollution from fossil fuels will likely decrease.,100.json
181,100,,A decrease of pollution from fossil fuels is beneficial to the planet.,100.json
181,100,,We live on the planet.,100.json
181,100,,The world's total electrical generation increases overall.,100.json
181,100,,This increase reflects rapid advancements in technology.,100.json
181,100,,Some things require electricity to operate.,100.json
181,100,,Technology requires electricity to operate.,100.json
181,100,,The headline is: Electric Boom.,100.json
181,101,,The production of electricity continues to increase globally.,101.json
181,101,,Clean electricity is used more frequently than fossil fuels.,101.json
181,101,,This is better for Earth.,101.json
181,101,,America has stayed almost constant on the smaller scale.,101.json
181,101,,India has stayed almost constant on the smaller scale.,101.json
181,101,,China has shown exponential growth on the smaller scale.,101.json
181,102,,I notice that nuclear electricity increases in 2020.,102.json
181,102,,I notice that hydroelectric electricity increases in 2020.,102.json
181,102,,I notice that coal takes up a big part at the bottom of the graph.,102.json
181,102,,I notice that gas takes up a big part at the bottom of the graph.,102.json
181,102,,I wonder if we are making a new change.,102.json
181,102,,I wonder if we are switching to more electric electricity.,102.json
181,102,,I wonder if we are switching from gas to electric electricity.,102.json
181,102,,I wonder if we are switching from coal to electric electricity.,102.json
181,102,,This relates to my community.,102.json
181,102,,My community uses a lot of gas.,102.json
181,102,,The headline is: Is clean energy taking over?,102.json
181,103,,Clean energy has taken up an increasing fraction over the years.,103.json
181,103,,Every method of electricity generation has increased over the years.,103.json
181,103,,The population has increased over the years.,103.json
181,103,,The number of areas with electricity has increased over the years.,103.json
181,103,,The increase in population likely causes the increase in electricity generation.,103.json
181,103,,The increase in areas with electricity likely causes the increase in electricity generation.,103.json
181,103,,I wonder if there will be a bigger shift toward clean energy in the future.,103.json
181,103,,"If there is a bigger shift toward clean energy, then the ratios of energy usage will change.",103.json
181,103,,This comment relates to my community.,103.json
181,103,,My community uses much gas.,103.json
181,103,,My community has wind farms.,103.json
181,103,,My community has solar farms.,103.json
181,103,,The headline could be: What kind of energy does the world use?,103.json
181,104,,The production of electricity in the world has continuously increased.,104.json
181,104,,The consumption of resources has increased.,104.json
181,104,,Clean electricity sources can produce more electricity than fossil fuels.,104.json
181,104,,Fossil fuels are more popular than clean electricity sources in consumption.,104.json
181,104,,Coal is a fossil fuel.,104.json
181,104,,Coal is the most consumed energy source.,104.json
181,104,,Coal generates the least amount of electricity.,104.json
181,104,,Wind energy began to receive more traction around 2010.,104.json
181,104,,Solar energy began to receive more traction around 2010.,104.json
181,104,,Wind energy produces a significant amount of electricity.,104.json
181,104,,Solar energy produces a significant amount of electricity.,104.json
181,104,,China consumes fossil fuels.,104.json
181,104,,India consumes fossil fuels.,104.json
181,104,,The fossil fuel consumption in the United States began to decrease around 2010.,104.json
181,104,,I wonder why China continues to consume fossil fuels.,104.json
181,104,,I wonder why India continues to consume fossil fuels.,104.json
181,104,,India has a smaller population than the United States.,104.json
181,104,,India produces less electricity than the United States.,104.json
181,104,,India consumes fewer resources than the United States.,104.json
181,104,,The production of clean electricity in the United States has a steady trend.,104.json
181,104,,The production of electricity from fossil fuels in the United States has decreased.,104.json
181,104,,This information is relevant to me and my community.,104.json
181,104,,Renewable energy sources can generate more electricity.,104.json
181,104,,Fossil fuels cause pollution.,104.json
